,cluster,year,month,day,datetime,maximum,site,Max PM2.5
65,12,2010.0,8.0,5.0,2010-08-05,54.0,Conroe Relocated C78/A321,10.77173913
66,15,2010.0,8.0,6.0,2010-08-06,44.0,Conroe Relocated C78/A321,11.54333333
67,14,2010.0,8.0,7.0,2010-08-07,45.0,Wallisville Road C617,9.950833333
68,10,2010.0,8.0,8.0,2010-08-08,33.0,Conroe Relocated C78/A321,8.905
69,1,2010.0,8.0,9.0,2010-08-09,52.0,Conroe Relocated C78/A321,9.292916667
70,4,2010.0,8.0,10.0,2010-08-10,77.0,Lang C408,11.72291667
71,9,2010.0,8.0,11.0,2010-08-11,93.0,Park Place C416,19.7825
72,14,2010.0,8.0,12.0,2010-08-12,71.0,Wallisville Road C617,22.51458333
73,6,2010.0,8.0,13.0,2010-08-13,53.0,Wallisville Road C617,13.2575
74,2,2010.0,8.0,14.0,2010-08-14,31.0,Houston Aldine C8/AF108/X150,13.45333333
75,4,2010.0,8.0,15.0,2010-08-15,48.0,Wallisville Road C617,10.74708333
76,8,2010.0,8.0,16.0,2010-08-16,50.0,Seabrook Friendship Park C45,13.20666667
77,13,2010.0,8.0,17.0,2010-08-17,79.0,Park Place C416,20.01666667
78,14,2010.0,8.0,18.0,2010-08-18,47.0,Houston Aldine C8/AF108/X150,11.30375
79,13,2010.0,8.0,19.0,2010-08-19,30.0,Wallisville Road C617,8.1825
80,1,2010.0,8.0,20.0,2010-08-20,26.0,Conroe Relocated C78/A321,7.565416667
81,2,2010.0,8.0,21.0,2010-08-21,36.0,Houston Aldine C8/AF108/X150,8.360416667
82,8,2010.0,8.0,22.0,2010-08-22,50.0,Wallisville Road C617,13.85458333
83,12,2010.0,8.0,23.0,2010-08-23,69.0,Wallisville Road C617,20.74125
84,14,2010.0,8.0,24.0,2010-08-24,75.0,Manvel Croix Park C84,17.16583333
85,14,2010.0,8.0,25.0,2010-08-25,81.0,Manvel Croix Park C84,22.56708333
86,13,2010.0,8.0,26.0,2010-08-26,74.0,Manvel Croix Park C84,26.72666667
87,13,2010.0,8.0,27.0,2010-08-27,88.0,Manvel Croix Park C84,25.49041667
88,6,2010.0,8.0,28.0,2010-08-28,63.0,Manvel Croix Park C84,15.50916667
89,2,2010.0,8.0,29.0,2010-08-29,54.0,Northwest Harris Co. C26/A110/X154,8.714166667
90,1,2010.0,8.0,30.0,2010-08-30,24.0,Conroe Relocated C78/A321,9.033333333
91,0,2010.0,8.0,31.0,2010-08-31,30.0,Northwest Harris Co. C26/A110/X154,9.4775
92,9,2010.0,9.0,1.0,2010-09-01,53.0,Northwest Harris Co. C26/A110/X154,7.29
93,6,2010.0,9.0,2.0,2010-09-02,57.0,Northwest Harris Co. C26/A110/X154,9.790833333
94,11,2010.0,9.0,3.0,2010-09-03,48.0,Manvel Croix Park C84,8.245
95,15,2010.0,9.0,4.0,2010-09-04,68.0,Manvel Croix Park C84,17.2025
96,11,2010.0,9.0,5.0,2010-09-05,67.0,Northwest Harris Co. C26/A110/X154,15.86791667
97,3,2010.0,9.0,6.0,2010-09-06,25.0,Seabrook Friendship Park C45,9.82625
98,2,2010.0,9.0,7.0,2010-09-07,20.0,Wallisville Road C617,13.3973913
99,1,2010.0,9.0,8.0,2010-09-08,26.0,Conroe Relocated C78/A321,17.785
100,2,2010.0,9.0,9.0,2010-09-09,28.0,Conroe Relocated C78/A321,15.77583333
