cluster,datestring,year,month,day,max D8HO,month_string,site
6,2011-06-11,2011,6,11,74,june.csv,
2,2011-06-12,2011,6,12,69,june.csv,
10,2011-06-13,2011,6,13,63,june.csv,
0,2011-06-14,2011,6,14,43,june.csv,
15,2011-06-15,2011,6,15,44,june.csv,
11,2011-06-16,2011,6,16,32,june.csv,
3,2011-06-17,2011,6,17,31,june.csv,
1,2011-06-18,2011,6,18,32,june.csv,
0,2011-06-19,2011,6,19,29,june.csv,
3,2011-06-20,2011,6,20,33,june.csv,
3,2011-06-21,2011,6,21,31,june.csv,
3,2011-06-22,2011,6,22,44,june.csv,
11,2011-06-23,2011,6,23,55,june.csv,
11,2011-06-24,2011,6,24,45,june.csv,
7,2011-06-25,2011,6,25,41,june.csv,
6,2011-06-26,2011,6,26,39,june.csv,
6,2011-06-27,2011,6,27,51,june.csv,
9,2011-06-28,2011,6,28,59,june.csv,
9,2011-06-29,2011,6,29,68,june.csv,
5,2011-06-30,2011,6,30,74,june.csv,
5,2011-07-01,2011,7,1,61,july.csv,
5,2011-07-02,2011,7,2,60,july.csv,
9,2011-07-03,2011,7,3,57,july.csv,
5,2011-07-04,2011,7,4,62,july.csv,
10,2011-07-05,2011,7,5,86,july.csv,
9,2011-07-06,2011,7,6,63,july.csv,
14,2011-07-07,2011,7,7,62,july.csv,
11,2011-07-08,2011,7,8,57,july.csv,
6,2011-07-09,2011,7,9,50,july.csv,
1,2011-07-10,2011,7,10,44,july.csv,
4,2011-07-11,2011,7,11,65,july.csv,
4,2011-07-12,2011,7,12,40,july.csv,
4,2011-07-13,2011,7,13,49,july.csv,
1,2011-07-14,2011,7,14,47,july.csv,
6,2011-07-15,2011,7,15,31,july.csv,
6,2011-07-16,2011,7,16,40,july.csv,
5,2011-07-17,2011,7,17,55,july.csv,
8,2011-07-18,2011,7,18,52,july.csv,
12,2011-07-19,2011,7,19,41,july.csv,
9,2011-07-20,2011,7,20,47,july.csv,
4,2011-07-21,2011,7,21,52,july.csv,
0,2011-07-22,2011,7,22,35,july.csv,
0,2011-07-23,2011,7,23,41,july.csv,
