cluster,year,month,day,date,maximum,site
1,2010,9,8,2010-09-08,26,Conroe Relocated C78/A321
2,2010,9,9,2010-09-09,28,Conroe Relocated C78/A321
3,2010,9,10,2010-09-10,29,Conroe Relocated C78/A321
6,2010,9,11,2010-09-11,37,Wallisville Road C617
15,2010,9,12,2010-09-12,51,Seabrook Friendship Park C45
12,2010,9,13,2010-09-13,77,Houston Croquet C409
13,2010,9,14,2010-09-14,87,Houston Aldine C8/AF108/X150
14,2010,9,15,2010-09-15,94,Northwest Harris Co. C26/A110/X154
10,2010,9,16,2010-09-16,62,Northwest Harris Co. C26/A110/X154
10,2010,9,17,2010-09-17,48,Northwest Harris Co. C26/A110/X154
5,2010,9,18,2010-09-18,41,Northwest Harris Co. C26/A110/X154
5,2010,9,19,2010-09-19,41,Wallisville Road C617
5,2010,9,20,2010-09-20,40,Manvel Croix Park C84
3,2010,9,21,2010-09-21,46,Northwest Harris Co. C26/A110/X154
3,2010,9,22,2010-09-22,43,Northwest Harris Co. C26/A110/X154
3,2010,9,23,2010-09-23,37,Conroe Relocated C78/A321
2,2010,9,24,2010-09-24,43,Northwest Harris Co. C26/A110/X154
9,2010,9,25,2010-09-25,62,Manvel Croix Park C84
11,2010,9,26,2010-09-26,52,Manvel Croix Park C84
7,2010,9,27,2010-09-27,54,Manvel Croix Park C84
7,2010,9,28,2010-09-28,77,Seabrook Friendship Park C45
7,2010,9,29,2010-09-29,78,Galveston 99th St. C1034/A320/X183
7,2010,9,30,2010-09-30,88,Manvel Croix Park C84
12,2011,6,1,2011-06-01,78,Northwest Harris Co. C26/A110/X154
12,2011,6,2,2011-06-02,95,Galveston 99th St. C1034/A320/X183
0,2011,6,3,2011-06-03,79,Northwest Harris Co. C26/A110/X154
0,2011,6,4,2011-06-04,70,Northwest Harris Co. C26/A110/X154
12,2011,6,5,2011-06-05,78,Manvel Croix Park C84
12,2011,6,6,2011-06-06,112,Galveston 99th St. C1034/A320/X183
10,2011,6,7,2011-06-07,80,Northwest Harris Co. C26/A110/X154
2,2011,6,8,2011-06-08,64,Conroe Relocated C78/A321
2,2011,6,9,2011-06-09,64,Conroe Relocated C78/A321
6,2011,6,10,2011-06-10,58,Conroe Relocated C78/A321
6,2011,6,11,2011-06-11,60,Houston Aldine C8/AF108/X150
2,2011,6,12,2011-06-12,69,Northwest Harris Co. C26/A110/X154
10,2011,6,13,2011-06-13,63,Conroe Relocated C78/A321
0,2011,6,14,2011-06-14,42,Conroe Relocated C78/A321
15,2011,6,15,2011-06-15,42,Conroe Relocated C78/A321
11,2011,6,16,2011-06-16,31,Conroe Relocated C78/A321
3,2011,6,17,2011-06-17,30,Conroe Relocated C78/A321
1,2011,6,18,2011-06-18,25,Conroe Relocated C78/A321
0,2011,6,19,2011-06-19,27,Conroe Relocated C78/A321
3,2011,6,20,2011-06-20,33,Conroe Relocated C78/A321
3,2011,6,21,2011-06-21,29,Conroe Relocated C78/A321
3,2011,6,22,2011-06-22,44,Manvel Croix Park C84
11,2011,6,23,2011-06-23,55,Conroe Relocated C78/A321
11,2011,6,24,2011-06-24,40,Conroe Relocated C78/A321
7,2011,6,25,2011-06-25,41,Conroe Relocated C78/A321
6,2011,6,26,2011-06-26,36,Conroe Relocated C78/A321
6,2011,6,27,2011-06-27,46,Conroe Relocated C78/A321
9,2011,6,28,2011-06-28,59,Northwest Harris Co. C26/A110/X154
9,2011,6,29,2011-06-29,68,Northwest Harris Co. C26/A110/X154
5,2011,6,30,2011-06-30,74,Northwest Harris Co. C26/A110/X154
5,2011,7,1,2011-07-01,51,Conroe Relocated C78/A321
5,2011,7,2,2011-07-02,58,Wallisville Road C617
9,2011,7,3,2011-07-03,57,Wallisville Road C617
5,2011,7,4,2011-07-04,59,Wallisville Road C617
10,2011,7,5,2011-07-05,82,Houston Aldine C8/AF108/X150
9,2011,7,6,2011-07-06,61,Houston Bayland Park C53/A146
14,2011,7,7,2011-07-07,58,Wallisville Road C617
11,2011,7,8,2011-07-08,46,Houston Aldine C8/AF108/X150
6,2011,7,9,2011-07-09,47,Conroe Relocated C78/A321
1,2011,7,10,2011-07-10,41,Conroe Relocated C78/A321
4,2011,7,11,2011-07-11,54,Northwest Harris Co. C26/A110/X154
4,2011,7,12,2011-07-12,37,Conroe Relocated C78/A321
4,2011,7,13,2011-07-13,42,Conroe Relocated C78/A321
1,2011,7,14,2011-07-14,36,Conroe Relocated C78/A321
6,2011,7,15,2011-07-15,27,Conroe Relocated C78/A321
6,2011,7,16,2011-07-16,39,Wallisville Road C617
5,2011,7,17,2011-07-17,49,Conroe Relocated C78/A321
8,2011,7,18,2011-07-18,52,Wallisville Road C617
12,2011,7,19,2011-07-19,41,Wallisville Road C617
9,2011,7,20,2011-07-20,45,Conroe Relocated C78/A321
4,2011,7,21,2011-07-21,48,Conroe Relocated C78/A321
0,2011,7,22,2011-07-22,33,Conroe Relocated C78/A321
0,2011,7,23,2011-07-23,37,Conroe Relocated C78/A321
12,2011,7,24,2011-07-24,35,Houston Aldine C8/AF108/X150
12,2011,7,25,2011-07-25,42,Wallisville Road C617
13,2011,7,26,2011-07-26,45,Houston Aldine C8/AF108/X150
6,2011,7,27,2011-07-27,41,Conroe Relocated C78/A321
5,2011,7,28,2011-07-28,40,Northwest Harris Co. C26/A110/X154
4,2011,7,29,2011-07-29,32,Northwest Harris Co. C26/A110/X154
8,2011,7,30,2011-07-30,45,Northwest Harris Co. C26/A110/X154
8,2011,7,31,2011-07-31,70,Houston East C1/G316
12,2011,8,1,2011-08-01,76,Wallisville Road C617
12,2011,8,2,2011-08-02,64,Northwest Harris Co. C26/A110/X154
13,2011,8,3,2011-08-03,56,Conroe Relocated C78/A321
9,2011,8,4,2011-08-04,51,Conroe Relocated C78/A321
8,2011,8,5,2011-08-05,48,Conroe Relocated C78/A321
8,2011,8,6,2011-08-06,49,Conroe Relocated C78/A321
8,2011,8,7,2011-08-07,33,Conroe Relocated C78/A321
15,2011,8,8,2011-08-08,36,Conroe Relocated C78/A321
