cluster,date,year,month
6,2011-08-31,2011,8
5,2011-09-01,2011,9
5,2011-09-02,2011,9
6,2011-09-03,2011,9
7,2011-09-04,2011,9
7,2011-09-05,2011,9
7,2011-09-06,2011,9
11,2011-09-07,2011,9
14,2011-09-08,2011,9
11,2011-09-09,2011,9
7,2011-09-10,2011,9
15,2011-09-11,2011,9
12,2011-09-12,2011,9
12,2011-09-13,2011,9
13,2011-09-14,2011,9
11,2011-09-15,2011,9
1,2011-09-16,2011,9
0,2011-09-17,2011,9
0,2011-09-18,2011,9
15,2011-09-19,2011,9
15,2011-09-20,2011,9
11,2011-09-21,2011,9
15,2011-09-22,2011,9
15,2011-09-23,2011,9
15,2011-09-24,2011,9
11,2011-09-25,2011,9
7,2011-09-26,2011,9
11,2011-09-27,2011,9
11,2011-09-28,2011,9
11,2011-09-29,2011,9
11,2011-09-30,2011,9
7,2012-06-01,2012,6
7,2012-06-02,2012,6
7,2012-06-03,2012,6
6,2012-06-04,2012,6
7,2012-06-05,2012,6
7,2012-06-06,2012,6
3,2012-06-07,2012,6
7,2012-06-08,2012,6
7,2012-06-09,2012,6
3,2012-06-10,2012,6
2,2012-06-11,2012,6
12,2012-06-12,2012,6
13,2012-06-13,2012,6
2,2012-06-14,2012,6
1,2012-06-15,2012,6
1,2012-06-16,2012,6
5,2012-06-17,2012,6
7,2012-06-18,2012,6
3,2012-06-19,2012,6
3,2012-06-20,2012,6
2,2012-06-21,2012,6
11,2012-06-22,2012,6
7,2012-06-23,2012,6
6,2012-06-24,2012,6
14,2012-06-25,2012,6
11,2012-06-26,2012,6
11,2012-06-27,2012,6
8,2012-06-28,2012,6
12,2012-06-29,2012,6
9,2012-06-30,2012,6
1,2012-07-01,2012,7
1,2012-07-02,2012,7
0,2012-07-03,2012,7
1,2012-07-04,2012,7
0,2012-07-05,2012,7
4,2012-07-06,2012,7
8,2012-07-07,2012,7
8,2012-07-08,2012,7
13,2012-07-09,2012,7
14,2012-07-10,2012,7
10,2012-07-11,2012,7
10,2012-07-12,2012,7
9,2012-07-13,2012,7
13,2012-07-14,2012,7
13,2012-07-15,2012,7
4,2012-07-16,2012,7
0,2012-07-17,2012,7
5,2012-07-18,2012,7
8,2012-07-19,2012,7
12,2012-07-20,2012,7
12,2012-07-21,2012,7
12,2012-07-22,2012,7
12,2012-07-23,2012,7
12,2012-07-24,2012,7
12,2012-07-25,2012,7
0,2012-07-26,2012,7
15,2012-07-27,2012,7
12,2012-07-28,2012,7
12,2012-07-29,2012,7
12,2012-07-30,2012,7
12,2012-07-31,2012,7
12,2012-08-01,2012,8
12,2012-08-02,2012,8
14,2012-08-03,2012,8
5,2012-08-04,2012,8
