null
"[12, 'September 2010', 57, 'Texas City 34th St. C620 ']"
"[13, 'September 2010', 80, 'Mustang Bayou C619 ']"
"[14, 'September 2010', 96, 'UH Coastal Center C697']"
"[15, 'September 2010', 94, 'Channelview C15/AH115 ']"
"[16, 'September 2010', 62, 'Channelview C15/AH115 ']"
"[17, 'September 2010', 54, 'UH WG Jones Forest C698']"
"[18, 'September 2010', 46, 'UH WG Jones Forest C698']"
"[19, 'September 2010', 46, 'UH WG Jones Forest C698']"
"[20, 'September 2010', 43, 'UH Moody Tower C695']"
"[21, 'September 2010', 46, 'Monitoring_Site']"
"[22, 'September 2010', 46, 'UH Moody Tower C695']"
"[23, 'September 2010', 49, 'U of H-Sugarland C696']"
"[24, 'September 2010', 43, 'Houston Aldine C8/AF108/X150 ']"
"[25, 'September 2010', 65, 'Texas City 34th St. C620 ']"
"[26, 'September 2010', 56, 'Wallisville Road C617 ']"
"[27, 'September 2010', 60, 'Wallisville Road C617 ']"
"[28, 'September 2010', 83, 'Wallisville Road C617 ']"
"[29, 'September 2010', 88, 'Danciger C618 ']"
"[30, 'September 2010', 88, 'Houston Regional Office C81']"
"[1, 'June 2011', 78, 'Channelview C15/AH115 ']"
"[2, 'June 2011', 97, 'U of H-Sugarland C696']"
"[3, 'June 2011', 79, 'Houston Aldine C8/AF108/X150 ']"
"[4, 'June 2011', 70, 'Houston Aldine C8/AF108/X150 ']"
"[5, 'June 2011', 78, 'Houston Regional Office C81']"
"[6, 'June 2011', 104, 'Wallisville Road C617 ']"
"[7, 'June 2011', 96, 'UH Coastal Center C697']"
"[8, 'June 2011', 64, 'Seabrook Friendship Park C45']"
"[9, 'June 2011', 67, 'UH Moody Tower C695']"
"[10, 'June 2011', 58, 'Seabrook Friendship Park C45']"
"[11, 'June 2011', 74, 'UH Coastal Center C697']"
"[12, 'June 2011', 69, 'Channelview C15/AH115 ']"
"[13, 'June 2011', 63, 'Houston Bayland Park C53/A146 ']"
"[14, 'June 2011', 43, 'UH Coastal Center C697']"
"[15, 'June 2011', 44, 'UH Coastal Center C697']"
"[16, 'June 2011', 32, 'UH Coastal Center C697']"
"[17, 'June 2011', 31, 'UH Coastal Center C697']"
"[18, 'June 2011', 32, 'U of H-Sugarland C696']"
"[19, 'June 2011', 29, 'UH Coastal Center C697']"
"[20, 'June 2011', 33, 'Houston Bayland Park C53/A146 ']"
"[21, 'June 2011', 31, 'U of H-Sugarland C696']"
"[22, 'June 2011', 44, 'Houston Regional Office C81']"
"[23, 'June 2011', 55, 'Houston Bayland Park C53/A146 ']"
"[24, 'June 2011', 45, 'UH Moody Tower C695']"
"[25, 'June 2011', 41, 'Houston Bayland Park C53/A146 ']"
"[26, 'June 2011', 39, 'U of H-Sugarland C696']"
"[27, 'June 2011', 51, 'UH Moody Tower C695']"
"[28, 'June 2011', 59, 'Channelview C15/AH115 ']"
"[29, 'June 2011', 68, 'Channelview C15/AH115 ']"
"[30, 'June 2011', 74, 'Channelview C15/AH115 ']"
"[1, 'July 2011', 61, 'UH Moody Tower C695']"
"[2, 'July 2011', 58, 'Park Place C416']"
"[3, 'July 2011', 57, 'Park Place C416']"
"[4, 'July 2011', 62, 'UH Coastal Center C697']"
"[5, 'July 2011', 82, 'Houston East C1/G316']"
"[6, 'July 2011', 62, 'Mustang Bayou C619 ']"
"[7, 'July 2011', 62, 'U of H-Sugarland C696']"
"[8, 'July 2011', 57, 'UH Moody Tower C695']"
"[9, 'July 2011', 50, 'UH Moody Tower C695']"
"[10, 'July 2011', 44, 'UH Moody Tower C695']"
"[11, 'July 2011', 65, 'U of H-Sugarland C696']"
"[12, 'July 2011', 40, 'UH Coastal Center C697']"
"[13, 'July 2011', 49, 'Mustang Bayou C619 ']"
"[14, 'July 2011', 47, 'U of H-Sugarland C696']"
"[15, 'July 2011', 31, 'Texas City 34th St. C620 ']"
"[16, 'July 2011', 39, 'Park Place C416']"
"[17, 'July 2011', 55, 'U of H-Sugarland C696']"
"[18, 'July 2011', 52, 'Park Place C416']"
"[19, 'July 2011', 41, 'Houston Westhollow C410/C3003']"
"[20, 'July 2011', 47, 'U of H-Sugarland C696']"
"[21, 'July 2011', 52, 'U of H-Sugarland C696']"
"[22, 'July 2011', 35, 'U of H-Sugarland C696']"
"[23, 'July 2011', 41, 'U of H-Sugarland C696']"
"[24, 'July 2011', 39, 'UH Coastal Center C697']"
"[25, 'July 2011', 43, 'UH Coastal Center C697']"
"[26, 'July 2011', 47, 'UH WG Jones Forest C698']"
"[27, 'July 2011', 45, 'UH Coastal Center C697']"
"[28, 'July 2011', 46, 'UH Coastal Center C697']"
"[29, 'July 2011', 32, 'Channelview C15/AH115 ']"
"[30, 'July 2011', 52, 'U of H-Sugarland C696']"
"[31, 'July 2011', 70, 'Monitoring_Site']"
"[1, 'August 2011', 77, 'U of H-Sugarland C696']"
"[2, 'August 2011', 73, 'UH Coastal Center C697']"
"[3, 'August 2011', 60, 'UH Coastal Center C697']"
"[4, 'August 2011', 56, 'U of H-Sugarland C696']"
