,date,month,ozone,site
0,1,August 2012,60,Wallisville Road C617 
1,2,August 2012,69,Texas City 34th St. C620 
2,3,August 2012,79,Houston Croquet C409
3,4,August 2012,70,UH Moody Tower C695
4,5,August 2012,69,Texas City 34th St. C620 
5,6,August 2012,79,Northwest Harris Co. C26/A110/X154
6,7,August 2012,86,Lang C408
7,8,August 2012,59,Houston Aldine C8/AF108/X150 
8,9,August 2012,45,Houston Texas Avenue C411
9,10,August 2012,43,Danciger C618 
10,11,August 2012,55,Danciger C618 
11,12,August 2012,58,UH Moody Tower C695
12,13,August 2012,41,Houston Westhollow C410/C3003
13,14,August 2012,41,Park Place C416
14,15,August 2012,50,Danciger C618 
15,16,August 2012,46,Wallisville Road C617 
16,17,August 2012,39,Wallisville Road C617 
17,18,August 2012,47,Houston Texas Avenue C411
18,19,August 2012,69,Danciger C618 
19,20,August 2012,89,Hou.DeerPrk2 C35/235/1001/AFH139FP239
20,21,August 2012,80,Conroe Relocated C78/A321
21,22,August 2012,68,Seabrook Friendship Park C45
22,23,August 2012,61,U of H-Sugarland C696
23,24,August 2012,51,U of H-Sugarland C696
24,25,August 2012,40,U of H-Sugarland C696
25,26,August 2012,44,Houston East C1/G316
26,27,August 2012,74,Conroe Relocated C78/A321
27,28,August 2012,70,Conroe Relocated C78/A321
28,29,August 2012,56,Conroe Relocated C78/A321
29,30,August 2012,64,U of H-Sugarland C696
30,31,August 2012,51,Houston Westhollow C410/C3003
31,1,September 2012,54,Houston Texas Avenue C411
32,2,September 2012,45,Texas City 34th St. C620 
33,3,September 2012,38,Park Place C416
34,4,September 2012,47,Texas City 34th St. C620 
35,5,September 2012,50,UH Moody Tower C695
36,6,September 2012,52,Houston East C1/G316
37,7,September 2012,71,HRM-3 Haden Road C603/A114 
38,8,September 2012,63,HRM-3 Haden Road C603/A114 
39,9,September 2012,63,Conroe Relocated C78/A321
40,10,September 2012,77,Houston Monroe C406
41,11,September 2012,80,Channelview C15/AH115 
42,12,September 2012,48,Houston Bayland Park C53/A146 
43,13,September 2012,39,Danciger C618 
44,14,September 2012,43,Houston Westhollow C410/C3003
45,15,September 2012,61,Conroe Relocated C78/A321
46,16,September 2012,65,Monitoring_Site
47,17,September 2012,56,HRM-3 Haden Road C603/A114 
48,18,September 2012,59,Conroe Relocated C78/A321
