Date,C1_3,C8_3,C35_3,C45_3,C78_3,C403_3,C416_3,C1034_3
20100728,13.76625,12.91875,11.5125,11.64375,10.36583333,14.10083333,11.29291667,
20100729,14.39166667,12.65055556,12.13291667,10.59958333,14.49791667,15.83666667,12.4775,
20100730,13.48375,11.37291667,12.0325,10.685,11.2825,15.87833333,12.22125,
20100731,13.31291667,13.66958333,13.27083333,12.5325,10.97708333,13.36291667,12.46666667,
20100801,15.38583333,14.14916667,15.47541667,15.74458333,11.53833333,14.895,13.5675,
20100802,18.15375,18.15166667,16.23333333,16.43125,18.29833333,19.14375,16.43041667,15.64916667
20100803,21.22208333,18.95583333,21.26333333,19.55791667,16.72045455,21.60416667,17.60333333,18.88166667
20100804,12.87125,13.52166667,12.12916667,12.00583333,15.92041667,15.00227273,11.92916667,13.83
20100805,9.252727273,9.215416667,7.854166667,7.894166667,9.740416667,10.77173913,8.39625,
20100806,9.397916667,8.22625,7.749166667,7.53125,7.834166667,11.54333333,8.05625,5.117777778
20100807,8.5025,7.537083333,7.348333333,7.4575,7.35375,9.950833333,7.374166667,5.7475
20100808,6.783333333,8.905,6.11625,5.682916667,6.969583333,7.850833333,5.74125,5.118333333
20100809,8.085,8.2875,6.94375,5.833076923,7.816666667,9.292916667,6.265833333,5.632608696
20100810,9.884583333,7.992083333,9.73,7.952083333,6.685,11.72291667,10.12333333,6.108333333
20100811,18.47125,16.49333333,19.34125,18.62583333,17.80458333,19.7825,19.62272727,13.8275
20100812,17.56208333,17.41125,16.06291667,15.23541667,22.51458333,16.79590909,14.05625,10.12375
20100813,11.69583333,10.09416667,10.95541667,11.76541667,8.260416667,13.2575,11.26,8.408333333
20100814,11.82875,13.45333333,11.48375,12.60291667,12.705,12.69583333,12.13958333,8.790833333
20100815,9.470416667,8.23125,9.429166667,9.389583333,7.519583333,10.74708333,9.99125,7.395
20100816,12.37666667,11.8825,10.53217391,10.68791667,10.75083333,13.20666667,11.17791667,8.062083333
20100817,16.34166667,16.60875,20.01666667,17.38666667,18.02125,16.06083333,17.40041667,14.70541667
20100818,7.49125,7.7425,7.770833333,7.849166667,11.30375,9.420833333,7.605,4.9975
20100819,5.475416667,5.738333333,5.5025,5.172916667,6.297083333,8.1825,5.220833333,4.057916667
20100820,5.900833333,6.04875,5.555,4.585416667,5.7475,7.565416667,5.045,4.074166667
20100821,6.549583333,8.360416667,7.216666667,5.92875,5.519166667,7.308333333,6.729583333,6.340833333
20100822,12.22708333,10.5375,13.85458333,13.00833333,10.23833333,13.23708333,13.26916667,11.53833333
20100823,19.38708333,17.85875,20.74125,18.12708333,17.95166667,20.12521739,17.86041667,14.82125
20100824,16.6475,15.70791667,16.2475,14.735,16.30916667,17.16583333,16.57833333,13.8875
