June 2020
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,Wallisville Road C617 ,1,Non,44,62,26,45,31,37,26,51,31,45,47,55,58,55,37,60,61,53,35,28,21,30,33,47,28,NA,NA,NA,NA,NA
,Texas City 34th St. C620 ,1,Non,64,61,32,25,36,58,30,NV,NA,NV,63,67,80,68,NV,NV,65,60,42,NV,NA,NV,48,48,28,23,23,21,22,NV
,UH Moody Tower C695,1,Non,56,64,34,NV,42,43,30,43,32,55,55,59,58,64,43,68,55,50,32,25,20,30,30,43,NV,18,19,20,20,23
,UH WG Jones Forest C698,1,Non,38,57,46,47,48,34,27,41,44,NV,48,57,56,56,43,78,75,67,45,40,25,19,29,36,NV,19,27,21,25,29
,UH West Liberty C699,1,Non,34,55,26,43,28,29,21,35,36,40,40,48,48,50,33,NV,61,50,32,27,21,23,30,44,26,16,20,19,19,23
,Lynchburg Ferry C1015/A165 ,1,Reg,33,55,23,31,27,31,19,42,28,39,44,50,53,53,33,57,55,48,32,23,17,23,29,37,23,15,16,17,18,21
,Lake Jackson C1016 ,1,Reg,53,51,24,17,25,50,35,38,20,70,59,58,63,58,32,52,47,37,27,16,15,24,28,30,23,17,14,15,16,17
,Baytown Garth C1017,1,Reg,41,60,27,44,32,36,25,51,27,43,45,53,57,55,38,59,59,52,35,28,21,29,33,46,29,NV,23,21,21,24
,Galveston 99th St. C1034/A320/X183,1,Reg,61,57,29,23,31,57,25,37,25,46,58,65,62,58,50,55,52,48,32,25,21,41,41,40,26,NV,18,17,19,18
,UH Smith Point C1606,1,Non,57,56,30,30,27,43,24,39,28,46,51,55,64,NV,42,56,60,49,35,26,22,38,34,39,25,18,20,19,21,NV
,Oyster Creek C1607 ,1,Non,67,NV,30,22,29,59,41,39,27,73,65,68,68,64,38,56,56,50,33,26,22,35,41,39,31,24,21,22,23,23
,UH Launch Trailer C1611,1,Non,51,61,NV,32,40,39,28,42,31,49,51,55,54,61,41,65,54,49,30,23,20,26,30,41,25,17,18,18,20,NV
