June 2020
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,Hamshire C64/C654,1,Reg,57,65,23,21,29,42,24,48,23,40,48,NV,58,53,43,57,49,46,41,21,20,27,30,NV,19,17,15,17,17,20
,Houston East C1/G316,2,Reg,43,66,30,33,40,34,24,42,33,43,44,50,51,62,41,65,56,50,34,26,19,21,29,40,25,16,18,19,19,23
,Houston Aldine C8/AF108/X150 ,2,Reg,43,64,37,42,46,33,24,44,37,NV,49,57,55,58,46,75,63,55,32,28,21,20,25,40,26,14,20,19,18,19
,Channelview C15/AH115 ,3,Reg,39,59,24,34,31,33,23,45,33,43,42,50,52,54,36,59,57,49,32,27,19,24,27,42,22,12,16,17,15,21
,Northwest Harris Co. C26/A110/X154,2,Reg,49,71,40,40,69,36,27,43,38,47,50,59,56,59,60,84,63,58,34,35,22,17,25,38,NV,19,23,21,22,24
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,55,58,27,32,33,40,27,43,30,51,51,58,62,57,37,63,54,49,37,24,17,30,30,40,23,18,18,18,19,NV
,Seabrook Friendship Park C45,1,Reg,49,51,24,25,28,34,25,35,22,42,46,50,57,50,31,NV,49,43,31,21,17,30,28,34,22,17,16,15,17,17
,Houston Bayland Park C53/A146 ,1,Reg,62,61,31,32,44,46,29,40,35,64,59,63,59,66,NV,NA,NV,46,27,21,17,NV,NV,NV,20,14,16,16,16,17
,Conroe Relocated C78/A321,1,Reg,36,48,42,48,42,34,27,38,49,NV,47,55,55,54,41,68,79,67,41,36,27,21,31,37,34,20,30,24,28,31
,Manvel Croix Park C84,1,Reg,54,54,27,24,37,48,31,35,26,61,63,67,65,61,40,54,51,NV,26,20,17,34,27,36,23,17,16,18,19,21
,Clinton C403/C304/AH113 ,3,Reg,50,61,24,24,36,38,25,33,26,50,47,55,56,61,38,59,48,42,31,24,19,20,28,34,22,14,16,19,NV,20
,Houston North Wayside C405/C1033,1,Reg,36,61,NV,33,40,31,24,39,32,36,43,49,48,56,40,65,55,47,26,25,17,NV,NV,34,21,12,16,16,15,19
,Houston Monroe C406,1,Reg,50,51,26,23,33,38,27,35,25,50,49,54,55,54,36,60,49,43,27,21,16,NV,28,37,21,15,16,16,17,20
,Lang C408,2,Reg,57,73,35,41,55,41,28,44,43,53,50,58,56,66,50,73,61,51,30,31,21,19,29,42,24,17,19,18,19,22
,Houston Croquet C409,2,Reg,56,53,28,25,40,43,28,40,28,57,56,60,57,60,42,56,55,44,26,19,16,26,25,35,22,16,16,16,17,18
,Houston Westhollow C410/C3003,1,Reg,58,61,33,36,48,45,29,40,32,52,56,62,57,65,47,58,54,48,29,26,21,23,32,41,28,19,18,18,19,21
,Park Place C416,1,Reg,53,56,29,27,35,40,26,39,28,52,50,55,56,56,39,62,52,45,29,21,17,25,28,NV,23,16,17,18,18,22
,Sheldon C551,1,Non,21,34,13,22,19,17,10,24,19,27,30,39,39,37,21,40,43,36,20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Baytown Wetlands Center C552,1,Non,39,52,21,27,23,32,22,39,22,42,45,52,56,50,30,55,55,46,31,23,17,25,29,37,20,15,16,14,16,16
,Crosby Library C553,1,Non,33,53,24,45,30,28,20,45,32,39,40,48,48,49,33,54,61,48,28,26,19,20,22,41,22,12,15,15,17,20
,West Houston C554,1,Non,NA,NV,34,35,57,43,27,40,29,50,54,60,57,65,49,61,53,48,28,27,18,18,24,37,26,15,17,16,17,19
,La Porte Sylvan Beach C556,1,Non,49,49,24,26,26,31,23,38,22,41,43,49,55,50,31,48,47,41,28,18,13,26,26,31,18,14,11,8,9,11
,Mercer Arboretum C557,1,Non,34,56,35,50,48,32,22,37,47,42,42,52,50,52,40,71,65,56,36,29,19,12,23,32,24,13,19,16,19,21
,Tom Bass C558,1,Non,53,52,26,24,36,44,29,37,26,56,61,63,61,57,39,57,50,43,26,19,16,29,27,35,22,16,15,17,18,20
,Katy Park C559,1,Non,61,65,31,28,52,42,26,42,29,47,53,63,58,66,48,57,52,44,27,28,18,19,23,37,26,15,15,15,16,18
,Atascocita C560,1,Non,37,54,33,42,41,30,23,42,39,38,38,44,44,46,34,60,59,50,30,27,18,19,25,36,25,14,16,14,16,19
,Meyer Park C561,1,Non,42,61,35,44,58,35,26,40,42,50,48,56,54,57,50,80,62,53,33,34,20,15,24,32,25,14,18,17,18,22
,Bunker Hill Village C562,1,Non,52,60,30,31,43,38,25,30,32,53,50,57,52,63,41,57,51,43,25,19,15,12,21,31,19,12,13,12,13,17
,Huffman Wolf Road C563,1,Non,35,58,32,52,35,34,26,38,44,45,45,53,53,54,39,60,72,56,37,32,26,26,32,45,31,20,24,24,24,28
,HRM-3 Haden Road C603/A114 ,1,Non,43,60,23,32,35,35,24,40,31,45,46,53,NV,NA,NV,59,53,47,35,26,18,21,26,39,22,15,16,16,16,20
