June 2021
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,Hamshire C64/C654,1,Reg,21,36,31,25,26,24,15,17,16,20,24,30,32,56,NV,NA,NV,62,51,17,17,35,20,14,18,22,32,26,23,25
,Houston East C1/G316,2,Reg,30,60,25,21,40,30,18,18,20,23,30,50,49,50,74,55,65,61,76,20,15,52,29,16,22,21,30,19,16,30
,Houston Aldine C8/AF108/X150 ,2,Reg,40,NV,37,27,44,34,21,24,24,22,35,60,42,51,61,52,59,57,75,23,18,NV,NA,NV,23,21,32,24,24,37
,Channelview C15/AH115 ,3,Reg,32,59,35,20,35,28,17,18,17,19,31,42,49,48,66,51,61,54,66,22,15,48,24,16,24,23,29,22,21,27
,Northwest Harris Co. C26/A110/X154,2,Reg,34,41,34,31,46,32,22,24,26,24,31,33,32,45,53,51,59,62,52,22,18,36,33,23,24,22,30,25,26,34
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,30,57,35,25,36,27,18,19,19,22,28,36,56,61,70,72,69,64,89,20,17,55,29,15,21,23,32,27,27,27
,Seabrook Friendship Park C45,1,Reg,24,45,21,20,25,20,15,15,NV,16,21,25,52,56,NV,NV,59,60,79,17,NV,48,23,13,16,21,26,NV,NA,NV
,Houston Bayland Park C53/A146 ,1,Reg,43,60,30,35,45,31,23,26,27,23,33,48,43,63,78,74,78,86,NV,NA,NV,67,29,21,24,23,35,25,25,40
,Conroe Relocated C78/A321,1,Reg,33,44,37,27,38,42,29,36,38,39,47,34,34,42,48,51,59,60,53,29,27,27,43,36,29,29,30,28,26,25
,Manvel Croix Park C84,1,Reg,32,45,24,29,35,26,19,19,20,22,24,29,42,62,61,72,72,71,57,18,16,50,NV,15,20,20,34,25,21,31
,Clinton C403/C304/AH113 ,3,Reg,25,51,27,22,37,27,NV,17,17,19,21,39,45,NV,69,59,66,65,70,18,NV,NV,24,12,16,17,28,22,17,29
,Houston North Wayside C405/C1033,1,Reg,27,57,28,18,38,29,NV,19,19,21,27,51,44,45,64,45,57,52,71,19,12,42,28,16,18,19,29,16,13,NV
,Houston Monroe C406,1,Reg,30,42,23,24,33,25,15,17,16,19,23,31,42,54,68,68,65,61,63,17,15,58,23,12,18,19,28,22,18,26
,Lang C408,2,Reg,NV,NV,30,22,45,29,19,23,24,23,36,48,NV,57,70,57,63,62,65,22,18,NV,NV,21,27,19,33,17,19,34
,Houston Croquet C409,2,Reg,37,54,26,30,38,26,17,21,22,20,26,38,41,62,76,85,87,81,61,20,17,59,26,18,20,21,32,24,20,32
,Houston Westhollow C410/C3003,1,Reg,33,43,NV,NV,30,NV,8,10,NV,NV,16,28,30,NV,68,NV,67,82,59,18,14,61,30,19,19,19,32,23,20,NA
,Park Place C416,1,Reg,34,55,22,27,38,29,18,20,19,22,NV,45,49,58,78,78,78,79,72,20,17,67,28,16,21,21,32,24,19,32
,Houston Harvard Street C417,1,Reg,41,63,21,23,42,31,22,23,24,27,32,54,49,59,79,61,72,72,75,24,NV,NA,NV,23,26,24,37,24,NV,NV
,Sheldon C551,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,57,23,16,36,25,7,12,14,16,13,12,20
,Baytown Wetlands Center C552,1,Non,25,55,30,20,27,18,13,14,14,15,19,27,45,53,53,54,58,51,67,17,11,43,17,10,13,19,24,20,17,19
,Crosby Library C553,1,Non,32,53,31,21,30,26,17,21,20,24,36,52,39,44,53,48,54,50,54,23,16,27,22,16,23,22,26,22,20,23
,West Houston C554,1,Non,39,56,34,30,44,33,19,22,23,23,31,39,41,54,78,71,76,81,60,20,17,53,32,21,23,21,38,24,22,47
,La Porte Sylvan Beach C556,1,Non,NA,NV,26,22,30,20,14,17,15,17,22,27,55,60,59,54,59,55,81,17,18,48,20,12,16,21,26,25,24,19
,Mercer Arboretum C557,1,Non,32,55,35,24,41,34,20,26,26,30,43,45,33,49,50,48,54,54,60,24,18,32,38,27,28,19,26,22,20,26
,Tom Bass C558,1,Non,34,49,25,28,35,26,18,18,18,21,24,32,44,61,70,76,74,68,57,19,17,60,26,15,21,21,31,26,19,30
,Katy Park C559,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,19,19,31,23,22,42
,Atascocita C560,1,Non,31,49,30,22,33,28,16,20,20,24,32,50,31,37,46,42,46,46,51,20,15,25,26,18,20,21,23,18,19,22
,Meyer Park C561,1,Non,35,49,34,27,41,31,21,26,27,27,33,39,31,49,NV,NV,NV,NV,59,21,19,37,37,21,23,21,NV,21,21,31
,Bunker Hill Village C562,1,Non,35,54,27,25,40,27,19,22,21,20,30,44,40,60,73,60,70,75,64,20,17,56,28,20,24,20,31,18,19,41
,Huffman Wolf Road C563,1,Non,32,49,32,26,33,31,21,25,26,31,42,44,34,39,51,45,51,48,47,28,20,27,28,21,28,26,28,26,22,25
,HRM-3 Haden Road C603/A114 ,1,Non,31,61,31,23,37,29,18,19,19,23,31,44,49,51,71,NA,NV,61,73,20,15,59,28,14,22,21,31,21,21,31
,Wallisville Road C617 ,1,Non,31,61,42,26,34,28,20,23,22,24,31,44,47,56,63,58,64,58,61,23,18,43,24,17,22,25,31,31,25,28
,Texas City 34th St. C620 ,1,Non,30,41,30,29,31,23,20,18,19,21,22,25,47,69,64,60,65,66,70,20,22,50,26,18,20,26,36,32,28,32
,UH Moody Tower C695,1,Non,41,59,27,27,41,28,18,20,19,23,28,46,47,57,80,67,76,75,70,20,16,61,28,18,21,20,31,22,NV,32
,UH WG Jones Forest C698,1,Non,37,50,39,NV,NV,42,29,34,35,38,42,36,38,NV,NA,NV,61,61,57,27,22,34,46,32,30,28,NV,NA,NA,NA
,Lynchburg Ferry C1015/A165 ,1,Reg,27,58,22,21,31,25,17,17,17,20,29,37,47,50,60,57,61,56,65,19,15,50,21,14,22,22,27,23,22,21
,Lake Jackson C1016 ,1,Reg,28,22,23,27,30,23,18,18,16,18,18,21,36,57,56,61,67,66,51,17,17,33,29,13,18,20,29,24,22,22
,Baytown Garth C1017,1,Reg,33,65,45,29,36,31,23,26,26,27,34,48,51,62,69,64,68,60,67,27,20,49,28,21,25,28,34,34,28,31
,Galveston 99th St. C1034/A320/X183,1,Reg,NA,NV,25,28,30,20,18,18,18,21,20,20,36,77,56,62,62,49,54,17,19,44,24,17,17,23,30,32,26,28
