,date,maximum,site
0,2018-07-01,39.0,Conroe Relocated C78/A321
1,2018-07-02,56.0,Conroe Relocated C78/A321
2,2018-07-03,49.0,Channelview C15/AH115
3,2018-07-04,24.0,Houston Westhollow C410/C3003
4,2018-07-05,48.0,Lang C408
5,2018-07-06,59.0,Houston Croquet C409
6,2018-07-07,53.0,Houston Westhollow C410/C3003
7,2018-07-08,43.0,Conroe Relocated C78/A321
8,2018-07-09,30.0,Hou.DeerPrk2 C35/235/1001/AFH139FP239
9,2018-07-10,64.0,Houston Aldine C8/AF108/X150
10,2018-07-11,57.0,Wallisville Road C617
11,2018-07-12,50.0,Conroe Relocated C78/A321
12,2018-07-13,50.0,Conroe Relocated C78/A321
13,2018-07-14,39.0,Conroe Relocated C78/A321
14,2018-07-15,29.0,Houston Aldine C8/AF108/X150
15,2018-07-16,46.0,Houston Aldine C8/AF108/X150
16,2018-07-17,49.0,Wallisville Road C617
17,2018-07-18,50.0,Wallisville Road C617
18,2018-07-19,45.0,Houston Aldine C8/AF108/X150
19,2018-07-20,56.0,Houston Aldine C8/AF108/X150
20,2018-07-21,48.0,Houston Aldine C8/AF108/X150
21,2018-07-22,52.0,Wallisville Road C617
22,2018-07-23,81.0,Wallisville Road C617
23,2018-07-24,73.0,Houston Croquet C409
24,2018-07-25,72.0,Park Place C416
25,2018-07-26,107.0,Galveston 99th St. C1034/A320/X183
26,2018-07-27,109.0,Houston Aldine C8/AF108/X150
27,2018-07-28,86.0,Houston Aldine C8/AF108/X150
28,2018-07-29,71.0,Wallisville Road C617
29,2018-07-30,64.0,Wallisville Road C617
30,2018-07-31,49.0,Conroe Relocated C78/A321
0,2018-08-01,77.0,Lake Jackson C1016
1,2018-08-02,78.0,Manvel Croix Park C84
2,2018-08-03,76.0,Houston Westhollow C410/C3003
3,2018-08-04,42.0,Conroe Relocated C78/A321
4,2018-08-05,58.0,Northwest Harris Co. C26/A110/X154
5,2018-08-06,45.0,Conroe Relocated C78/A321
6,2018-08-07,39.0,Conroe Relocated C78/A321
7,2018-08-08,39.0,Conroe Relocated C78/A321
8,2018-08-09,33.0,Conroe Relocated C78/A321
9,2018-08-10,43.0,Wallisville Road C617
10,2018-08-11,30.0,Conroe Relocated C78/A321
11,2018-08-12,23.0,Conroe Relocated C78/A321
12,2018-08-13,45.0,Conroe Relocated C78/A321
13,2018-08-14,46.0,Conroe Relocated C78/A321
14,2018-08-15,45.0,Conroe Relocated C78/A321
15,2018-08-16,40.0,Conroe Relocated C78/A321
16,2018-08-17,43.0,Conroe Relocated C78/A321
17,2018-08-18,38.0,Wallisville Road C617
18,2018-08-19,33.0,Conroe Relocated C78/A321
19,2018-08-20,36.0,Wallisville Road C617
20,2018-08-21,50.0,Wallisville Road C617
21,2018-08-22,73.0,Galveston 99th St. C1034/A320/X183
22,2018-08-23,99.0,Clinton C403/C304/AH113
23,2018-08-24,91.0,Houston Aldine C8/AF108/X150
24,2018-08-25,77.0,Northwest Harris Co. C26/A110/X154
25,2018-08-26,55.0,Houston Aldine C8/AF108/X150
26,2018-08-27,48.0,Conroe Relocated C78/A321
27,2018-08-28,40.0,Conroe Relocated C78/A321
28,2018-08-29,40.0,Conroe Relocated C78/A321
29,2018-08-30,55.0,Northwest Harris Co. C26/A110/X154
30,2018-08-31,65.0,Houston Westhollow C410/C3003
0,2018-09-01,55.0,Houston Westhollow C410/C3003
1,2018-09-02,29.0,Wallisville Road C617
2,2018-09-03,28.0,Galveston 99th St. C1034/A320/X183
3,2018-09-04,35.0,Northwest Harris Co. C26/A110/X154
4,2018-09-05,48.0,Northwest Harris Co. C26/A110/X154
5,2018-09-06,48.0,Conroe Relocated C78/A321
6,2018-09-07,37.0,Conroe Relocated C78/A321
7,2018-09-08,34.0,Conroe Relocated C78/A321
8,2018-09-09,38.0,Wallisville Road C617
9,2018-09-10,30.0,Wallisville Road C617
10,2018-09-11,29.0,Galveston 99th St. C1034/A320/X183
11,2018-09-12,40.0,Northwest Harris Co. C26/A110/X154
12,2018-09-13,32.0,Galveston 99th St. C1034/A320/X183
13,2018-09-14,27.0,Galveston 99th St. C1034/A320/X183
14,2018-09-15,43.0,Northwest Harris Co. C26/A110/X154
15,2018-09-16,73.0,Wallisville Road C617
16,2018-09-17,88.0,Hou.DeerPrk2 C35/235/1001/AFH139FP239
17,2018-09-18,89.0,Hou.DeerPrk2 C35/235/1001/AFH139FP239
18,2018-09-19,71.0,Houston Aldine C8/AF108/X150
19,2018-09-20,43.0,Conroe Relocated C78/A321
20,2018-09-21,24.0,Conroe Relocated C78/A321
21,2018-09-22,22.0,Wallisville Road C617
22,2018-09-23,53.0,Wallisville Road C617
23,2018-09-24,60.0,Wallisville Road C617
24,2018-09-25,42.0,Conroe Relocated C78/A321
25,2018-09-26,29.0,Wallisville Road C617
26,2018-09-27,34.0,Lake Jackson C1016
27,2018-09-28,40.0,Houston Westhollow C410/C3003
28,2018-09-29,28.0,Galveston 99th St. C1034/A320/X183
29,2018-09-30,35.0,Northwest Harris Co. C26/A110/X154
0,2019-06-01,81.0,Houston Aldine C8/AF108/X150
1,2019-06-02,53.0,Wallisville Road C617
2,2019-06-03,72.0,Houston Aldine C8/AF108/X150
3,2019-06-04,51.0,Conroe Relocated C78/A321
4,2019-06-05,25.0,Galveston 99th St. C1034/A320/X183
5,2019-06-06,65.0,Wallisville Road C617
6,2019-06-07,59.0,Houston Aldine C8/AF108/X150
7,2019-06-08,81.0,Galveston 99th St. C1034/A320/X183
8,2019-06-09,92.0,Clinton C403/C304/AH113
9,2019-06-10,63.0,Lake Jackson C1016
10,2019-06-11,83.0,Houston Croquet C409
11,2019-06-12,91.0,Houston Bayland Park C53/A146
12,2019-06-13,81.0,Galveston 99th St. C1034/A320/X183
13,2019-06-14,83.0,Conroe Relocated C78/A321
14,2019-06-15,28.0,Conroe Relocated C78/A321
15,2019-06-16,45.0,Galveston 99th St. C1034/A320/X183
16,2019-06-17,81.0,Houston Aldine C8/AF108/X150
17,2019-06-18,61.0,Houston Aldine C8/AF108/X150
18,2019-06-19,36.0,Conroe Relocated C78/A321
19,2019-06-20,27.0,Conroe Relocated C78/A321
20,2019-06-21,32.0,Conroe Relocated C78/A321
21,2019-06-22,29.0,Conroe Relocated C78/A321
22,2019-06-23,31.0,Conroe Relocated C78/A321
23,2019-06-24,55.0,Conroe Relocated C78/A321
24,2019-06-25,33.0,Conroe Relocated C78/A321
25,2019-06-26,26.0,Conroe Relocated C78/A321
26,2019-06-27,32.0,Conroe Relocated C78/A321
27,2019-06-28,55.0,Houston Aldine C8/AF108/X150
28,2019-06-29,40.0,Galveston 99th St. C1034/A320/X183
29,2019-06-30,58.0,Channelview C15/AH115
0,2019-07-01,56.0,Conroe Relocated C78/A321
1,2019-07-02,35.0,Conroe Relocated C78/A321
2,2019-07-03,43.0,Conroe Relocated C78/A321
3,2019-07-04,31.0,Conroe Relocated C78/A321
4,2019-07-05,47.0,Conroe Relocated C78/A321
5,2019-07-06,61.0,Channelview C15/AH115
6,2019-07-07,50.0,Wallisville Road C617
7,2019-07-08,39.0,Conroe Relocated C78/A321
8,2019-07-09,48.0,Conroe Relocated C78/A321
9,2019-07-10,66.0,Houston Aldine C8/AF108/X150
10,2019-07-11,66.0,Galveston 99th St. C1034/A320/X183
11,2019-07-12,60.0,Lake Jackson C1016
12,2019-07-13,45.0,Galveston 99th St. C1034/A320/X183
13,2019-07-14,41.0,Channelview C15/AH115
14,2019-07-15,30.0,Conroe Relocated C78/A321
15,2019-07-16,35.0,Conroe Relocated C78/A321
16,2019-07-17,30.0,Houston Aldine C8/AF108/X150
17,2019-07-18,43.0,Conroe Relocated C78/A321
18,2019-07-19,44.0,Conroe Relocated C78/A321
19,2019-07-20,43.0,Conroe Relocated C78/A321
20,2019-07-21,33.0,Houston Aldine C8/AF108/X150
21,2019-07-22,36.0,Houston Aldine C8/AF108/X150
22,2019-07-23,47.0,Lake Jackson C1016
23,2019-07-24,60.0,Houston Bayland Park C53/A146
24,2019-07-25,79.0,Manvel Croix Park C84
25,2019-07-26,76.0,Houston Westhollow C410/C3003
26,2019-07-27,64.0,Houston Westhollow C410/C3003
27,2019-07-28,29.0,Conroe Relocated C78/A321
28,2019-07-29,28.0,Conroe Relocated C78/A321
29,2019-07-30,36.0,Wallisville Road C617
30,2019-07-31,56.0,Lang C408
0,2019-08-01,73.0,Houston Bayland Park C53/A146
1,2019-08-02,70.0,Park Place C416
2,2019-08-03,64.0,Hou.DeerPrk2 C35/235/1001/AFH139FP239
3,2019-08-04,50.0,Houston Aldine C8/AF108/X150
4,2019-08-05,60.0,Houston Aldine C8/AF108/X150
5,2019-08-06,47.0,Conroe Relocated C78/A321
6,2019-08-07,39.0,Conroe Relocated C78/A321
7,2019-08-08,38.0,Houston Aldine C8/AF108/X150
8,2019-08-09,44.0,Conroe Relocated C78/A321
9,2019-08-10,39.0,Conroe Relocated C78/A321
10,2019-08-11,36.0,Houston Aldine C8/AF108/X150
11,2019-08-12,47.0,Conroe Relocated C78/A321
12,2019-08-13,51.0,Houston Aldine C8/AF108/X150
13,2019-08-14,59.0,Hou.DeerPrk2 C35/235/1001/AFH139FP239
14,2019-08-15,107.0,Hou.DeerPrk2 C35/235/1001/AFH139FP239
15,2019-08-16,68.0,Houston Aldine C8/AF108/X150
16,2019-08-17,34.0,Conroe Relocated C78/A321
17,2019-08-18,29.0,Conroe Relocated C78/A321
18,2019-08-19,45.0,Conroe Relocated C78/A321
19,2019-08-20,35.0,Conroe Relocated C78/A321
20,2019-08-21,40.0,Conroe Relocated C78/A321
21,2019-08-22,50.0,Northwest Harris Co. C26/A110/X154
22,2019-08-23,31.0,Houston Westhollow C410/C3003
23,2019-08-24,49.0,Houston Bayland Park C53/A146
24,2019-08-25,32.0,Wallisville Road C617
25,2019-08-26,37.0,Conroe Relocated C78/A321
26,2019-08-27,48.0,Conroe Relocated C78/A321
27,2019-08-28,49.0,Park Place C416
28,2019-08-29,70.0,Northwest Harris Co. C26/A110/X154
29,2019-08-30,54.0,Northwest Harris Co. C26/A110/X154
30,2019-08-31,76.0,Houston Bayland Park C53/A146
0,2019-09-01,64.0,Galveston 99th St. C1034/A320/X183
1,2019-09-02,45.0,Galveston 99th St. C1034/A320/X183
2,2019-09-03,50.0,Houston Bayland Park C53/A146
3,2019-09-04,68.0,Houston Bayland Park C53/A146
4,2019-09-05,93.0,Houston Aldine C8/AF108/X150
5,2019-09-06,85.0,Houston Aldine C8/AF108/X150
6,2019-09-07,68.0,Wallisville Road C617
7,2019-09-08,58.0,Conroe Relocated C78/A321
8,2019-09-09,63.0,Conroe Relocated C78/A321
9,2019-09-10,50.0,Houston Bayland Park C53/A146
10,2019-09-11,46.0,Northwest Harris Co. C26/A110/X154
11,2019-09-12,58.0,Northwest Harris Co. C26/A110/X154
12,2019-09-13,69.0,Houston Bayland Park C53/A146
13,2019-09-14,65.0,Houston Bayland Park C53/A146
14,2019-09-15,57.0,Houston Bayland Park C53/A146
15,2019-09-16,42.0,Galveston 99th St. C1034/A320/X183
16,2019-09-17,40.0,Galveston 99th St. C1034/A320/X183
17,2019-09-18,39.0,Galveston 99th St. C1034/A320/X183
18,2019-09-19,31.0,Houston Bayland Park C53/A146
19,2019-09-20,43.0,Galveston 99th St. C1034/A320/X183
20,2019-09-21,43.0,Northwest Harris Co. C26/A110/X154
21,2019-09-22,39.0,Conroe Relocated C78/A321
22,2019-09-23,42.0,Northwest Harris Co. C26/A110/X154
23,2019-09-24,65.0,Northwest Harris Co. C26/A110/X154
24,2019-09-25,62.0,Conroe Relocated C78/A321
25,2019-09-26,73.0,Northwest Harris Co. C26/A110/X154
26,2019-09-27,39.0,Conroe Relocated C78/A321
27,2019-09-28,46.0,Conroe Relocated C78/A321
28,2019-09-29,43.0,Houston Aldine C8/AF108/X150
29,2019-09-30,36.0,Conroe Relocated C78/A321
