Site/Site AQS/Param/POC,Date (LST),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Average,Max
Clinton C403/482011035/PM2.5-88502/3,6/25/2019,12,13,16.4,16.8,18,9,12.3,8.3,13.5,13.1,11.7,20.7,16.7,11.4,12.5,12.1,9.8,7.9,8.5,11.1,14,11,10,11.5,12.55,20.7
Clinton C403/482011035/PM2.5-88502/3,6/26/2019,11.3,12.7,11.6,13.2,17.8,18.4,17.8,20.6,22.2,22.9,24.7,21.9,19.1,23.2,16.2,20.2,15.5,16.4,13.2,16.2,17.2,17.8,16.3,15.2,17.57,24.7
Clinton C403/482011035/PM2.5-88502/3,6/27/2019,14,14.9,15.9,15.4,16.9,15.2,16.8,16,15.1,21.9,19.2,8.9,19.3,17.8,20.3,25.1,18.8,23.7,19.4,15.3,15.6,21.5,17.6,18.7,17.64,25.1
Clinton C403/482011035/PM2.5-88502/3,6/28/2019,17.2,14.2,13.9,12.7,11.3,15.1,19.6,26.8,23.9,24,23.5,21.5,18.3,23.9,30.9,15.6,18.8,14.1,19.7,27.3,22.2,24.4,20.9,21.8,20.07,30.9
Clinton C403/482011035/PM2.5-88502/3,6/29/2019,21.7,18.8,20.7,19.5,16.7,20.2,29.8,28.5,25.5,18.6,19.8,16.7,20.5,12.4,4,6.1,9.4,13.5,16.5,10.3,12.2,16.3,15.1,10.2,16.79,29.8
Clinton C403/482011035/PM2.5-88502/3,6/30/2019,15.3,8.5,5.3,5.9,7.6,7,8.4,5.6,5.4,6.3,5.1,9.4,15.5,10,11.5,18.2,11.9,13.3,24.4,16.5,15.4,14.4,15.2,13.7,11.24,24.4
Galveston Airpo/481671034/PM2.5-88101/2,6/1/2019,6.5,6.2,10,9.5,7.5,5.5,5.2,10.2,12,6.2,8.5,12,8.7,7.7,8.2,11.5,9.5,7,3.5,2.2,3.7,5.5,4,4,7.28,12
Galveston Airpo/481671034/PM2.5-88101/2,6/2/2019,4,3.2,1.7,4.2,3.7,1,5,7.7,7.5,9,7.5,3.2,4.2,4.7,3.7,3,2.7,2.2,2.5,1.2,2,2.5,3.5,2.2,3.84,9
Galveston Airpo/481671034/PM2.5-88101/2,6/3/2019,3,3.2,3.5,2,2,2.7,5.7,8.5,9.5,7.2,5.5,6.5,5.2,5.7,5.5,7,6.5,4.5,2.5,0.5,0.2,4.7,6.5,4.2,4.68,9.5
Galveston Airpo/481671034/PM2.5-88101/2,6/4/2019,2.7,5,4.7,5,6.5,2.5,4.7,7,6.7,6.7,,,3,6,5,-2,8,2,2,3,4,3,5,2,4.2,8
